Name,Type,%Vbur,Bite angle,P1–M (Å),P2–M (Å),Avg. P–M (Å),Metal center
HIPZAH,PC1P,0.4949042582929556,72.51922261593663,2.223851164084504,2.234676934145068,2.2292640491147857,Pd
HIQNIF,PC1P,0.5226833302273575,73.81489230243382,2.2208115633704724,2.2344713021204825,2.227641432745477,Pd
HOQXIU,PC1P,0.4402837308982482,70.98024632751248,2.2665628162484266,2.270591552877796,2.268577184563111,Ru
HUJDUL,PC1P,0.4206986116287737,71.33013924541464,2.3004905998503884,2.2655714510913136,2.283031025470851,Ru
HUJFAT,PC1P,0.4390607528885575,72.64314344491909,2.264988520942214,2.265689519770968,2.265339020356591,Ru
IDELIN,PC1P,0.4589021151695863,70.80442507480291,2.385337711939339,2.3876375353055583,2.3864876236224486,Ru
IHUHID,PC1P,0.4173266865449124,72.28471511084253,2.2755825627737614,2.285883855317238,2.2807332090455,Pd
IMALEN,PC1P,0.4855688594856504,73.35488681284853,2.211180680089259,2.235436870054711,2.2233087750719847,Pd
IMENIY,PC1P,0.5276684215430488,73.44028726454306,2.3773325387921647,2.357111792003086,2.3672221653976253,Rh
IMENOE,PC1P,0.4999475866567275,73.30558924273032,2.34504115102486,2.427918655968523,2.3864799034966917,Rh
IMENUK,PC1P,0.534016259783824,74.63283380176765,2.329912230106533,2.2774182751528094,2.3036652526296715,Rh
IMEPAS,PC1P,0.5395429556466642,74.0741643879001,2.327721632841865,2.2764503069471997,2.302085969894532,Rh
ISUGUZ,PC1P,0.4660885669027208,73.03264393268353,2.232148292564812,2.2524184779920446,2.2422833852784283,Ru
JANCUX,PC1P,0.4128948471859858,71.5895960464259,2.2737539444715664,2.3126681560483333,2.29321105025995,Ru
JIHHUD,PC1P,0.4229407379798732,70.4035272427745,2.3146805395129584,2.287875433672034,2.3012779865924964,Ru
JINHOE,PC1P,0.4001118151323146,71.29892259163931,2.329322004360925,2.346676586153277,2.337999295257101,Ru
JINJAS,PC1P,0.4344425549757734,72.1681441550498,2.2537566416984776,2.265095803713388,2.2594262227059327,Ru
JOJSIK,PC1P,0.5228230991427506,73.77885977615588,2.3168687921416704,2.336822415161238,2.326845603651454,Ru
JOLWAI,PC1P,0.42348816623183,71.47788976392754,2.297982811075836,2.300278678769162,2.2991307449224987,Ru
KAYNIH,PC1P,0.5022421263510995,73.38658423467074,2.2187766899803147,2.231833775172336,2.225305232576325,Pd
KELPUN,PC1P,0.4352287551248602,71.26309182120436,2.3486723909477027,2.3581870154845643,2.353429703216133,Ru
KUDBUG,PC1P,0.4503179742825196,69.55025616397954,2.339919015692637,2.326718719570545,2.3333188676315912,Ru
KUJHAA,PC1P,0.4680919213566902,73.08287705111212,2.2900552395084275,2.2935705788137413,2.2918129091610844,Pd
KUPZIE,PC1P,0.4505509224748416,73.23391855155727,2.267673256886891,2.262593644470876,2.265133450678884,Rh
