ligand,geometric,electronic,steric
cyPAMP,1.8383628051925702,-3.2877887660151357,-0.060951227428932955
dcPAMP,1.5073849057186206,-4.431955626405442,3.8740291760043
dcpa,3.995995753213181,-1.616237364117661,2.483495145677569
diprpa,3.727472093881159,-0.789333392965786,1.3929475681887273
DS-10,1.087641664953996,-2.547672265277481,-0.9638461810240463
DS-11,2.68846203683359,-3.5037713548933582,-0.9933301411728277
DS-12,0.8966377156700033,-1.5192501561081966,-0.026865571727166766
DS-13,-2.783158606081909,0.9907279977406587,2.72587533634001
DS-14,2.84079258638147,-3.080494798148736,-1.17356437571213
DS-15,1.0661870365036228,-3.649053649268755,-0.47494000548966775
DS-16,-1.6779061685246714,-3.79369188651267,0.4167508813511481
DS-17,5.599676615873416,-3.6852962749920146,-1.4665627275461552
DS-18,0.20669784137589028,-2.477644157856875,1.7876932394224017
DS-19,-3.4588012732699536,4.588048910696099,7.535099851119441
DS-1,3.6557177854947205,0.12014126611781549,-8.206588183641452
DS-20,0.9851119864358697,-3.842168753388809,-0.4597055273950535
DS-21,2.5036389210039443,-2.7678152994245044,-1.1774569504542989
DS-22,0.353234583294841,-4.201129101815876,-0.4281923197381319
DS-23,1.4974307065531867,-4.833850665109305,-0.38459127687665967
DS-24,2.671077479142523,-3.014307164975044,-0.9316013327918008
DS-25,1.5397278295770436,-4.946015576162777,-0.34061247476485357
DS-26,-0.7328935756443269,-3.8913136853816073,0.4698993091199858
DS-27,0.17747621693229657,-1.6282888273316316,3.789082813069966
DS-28,0.0941957801641521,-2.164728779190789,5.8581834640132
DS-29,1.50080788987206,-2.7673313622862654,-0.28616681566707985
DS-2,-6.884999149328944,2.743870706197559,-3.599007487186742
DS-30,1.2576854053708626,-4.9682691259861365,-0.11823032282187168
DS-31,0.3928670755881757,-4.136724094005852,-0.24680572678810733
DS-32,1.3185047101726133,-5.080055783481248,-0.12825750563911645
DS-33,-1.8303861502023175,-4.023829457050782,-0.27508707540020716
DS-34,1.058616830046345,-2.011420163150866,-0.8511133197250642
DS-35,1.1267166839407807,-2.4171964287979506,2.042469650596264
DS-36,-1.7013090599719678,0.8482095862631795,-2.9479096821147914
DS-37,-1.7135127660405696,0.8046347194361975,-2.9407355803242567
DS-38,-1.258766606995373,-0.19815710190706814,-7.356978109354645
DS-39,-2.2914363712294974,1.7877492996862046,-0.9760182071355435
DS-3,2.2376943835890915,-3.2628397376899665,0.5944757144541238
DS-40,-1.0912338000466386,1.130966853454583,-1.8806973757279755
DS-41,-0.1032577852218541,0.4228456303275176,-5.50527995962166
DS-42,3.4797431835767325,1.9352926346934782,6.492681377509156
DS-43,-4.767426386586233,17.75142079072772,-0.00871154000217259
DS-44,-1.7379761882150593,1.5949056857285846,-2.314695118043412
DS-45,-4.810464187177419,17.509830487375982,1.305869957697047
DS-46,-4.1253369134056195,17.723197586471358,1.6063683373649678
DS-48,6.76461799875353,7.181351222266237,9.42243158938585
DS-49,-5.208928916208299,18.305774462886763,1.8217853132617112
DS-4,2.4588424094352166,-3.070270433930732,-1.0311517022778773
DS-50,-5.207875120437505,18.060557197908537,1.8976410808196558
DS-51,-4.481984396060758,17.417609346446884,2.8403601732638175
DS-52,0.8245929350047453,8.395158398004058,-0.10749299877815291
DS-53,4.660547939679551,3.912946992499125,0.14706281459371554
DS-54,-4.5205664713553775,16.615524794615748,1.9357457496547033
DS-55,-4.598789466183167,16.272072464182123,3.7320756592720774
