ligand,geometric,electronic,steric
cyPAMP,-1.160782723811329,-1.5507387640250399,-0.42190754087786
dcPAMP,-1.3465535414168988,-2.4511458558108163,2.4879038674722818
dcpa,-1.0638850200879872,-0.9899586235757178,1.6649133177872701
diprpa,-0.7603022840977182,-0.9973791417259793,0.9554416893621549
DS-10,0.004603528663655266,-1.150612532079238,-0.4923828675063293
DS-11,-1.7338213973502177,-1.4016051170415966,-0.859794635900592
DS-12,0.09314316507928949,-0.6719306397236043,0.20778373773967598
DS-13,0.5334683297294858,-0.5007397155144206,2.194618411778376
DS-14,-0.7716291967874053,-1.0282667962104841,-0.659018063076667
DS-15,-0.697484992918268,-1.3442465524498046,-0.09799584766088915
DS-16,1.890066346276511,-1.3491587771203857,0.9585100706483878
DS-17,-2.9232135384593705,-1.359753327257638,-1.0182637121668634
DS-18,-1.2633759319153692,-1.4000203254441268,1.209135566882692
DS-19,2.003746610098096,1.5770455362240186,6.459171673497707
DS-1,-1.6545965803323759,0.06362687426940525,-6.264869115285486
DS-20,-0.5952249325690768,-1.3814061381719147,-0.08561360997979307
DS-21,-0.7424509821983755,-0.9626873771299153,-1.2284432542306736
DS-22,0.15703054483532672,-1.4290690769735561,-0.008048019169959297
DS-23,-0.08383209924639687,-1.5207619530284133,-0.20070610621313223
DS-24,-0.8399817472602097,-1.0355140469301671,-1.1224021209762134
DS-25,-0.11550947390017484,-1.5541460028885339,-0.19041937805882647
DS-26,1.129823762523728,-1.2493852306877578,0.7575638154856357
DS-27,-0.7004588017375818,-1.377172864842035,2.3852793760278463
DS-28,-0.7814229114862157,-1.9151267334253208,3.6057584037733648
DS-29,-1.0310819860859521,-1.097786764180981,-0.003113677805926911
DS-2,5.17972336581844,-0.7744460950628083,-1.3873883665561164
DS-30,0.12644025123211414,-1.5243156900952757,0.09707251356089712
DS-31,0.05027547775704674,-1.415335560319102,0.13989782632719336
DS-32,0.06508955431438597,-1.5618361405892087,0.06001758773154005
DS-33,1.2208484655815692,-1.4959942377857887,0.47768282861011274
DS-34,-0.138342112573544,-0.8785266490497142,-0.9321777856503115
DS-35,-1.3461801397375368,-1.066868675040025,1.5548634861741077
DS-36,0.2598943213815525,-0.9960901494942513,-2.093904334955734
DS-37,0.24515271832439867,-1.0086562838116453,-2.095723663469556
DS-38,0.07039648352813126,-0.920718550890326,-5.147251553231455
DS-39,0.10976067202826048,-1.4376497508251125,-0.5250504127083759
DS-3,-0.919750380534092,-1.8088404406946101,0.7733458320371293
DS-40,-0.19101544205684623,-1.0107922056759224,-0.6470923258553877
DS-41,-0.3967209412034578,-0.7841622928578001,-4.435237944803802
DS-42,0.05911490529530793,1.0725153041728117,2.3520335272236887
DS-43,3.767723561098968,11.147510251507976,2.3257390989888633
DS-44,-0.4348151572310182,-1.2973423205606227,-0.6912369756617739
DS-45,3.3529835084510506,11.180981549205326,2.9638294976661435
DS-46,1.4095108784870063,10.952737890970154,2.4598396543075993
DS-48,-8.51279226659564,3.834038410278587,4.573637255173483
DS-49,3.8088745996226043,11.257967635696259,3.271189047988846
DS-4,-1.4846006466434962,-1.2794661392803266,-0.8652268216580922
DS-50,3.7455303510835773,11.152766367169438,3.316958546580718
DS-51,2.8171074388772896,11.08491172668845,3.8589179090791155
DS-52,1.1849258573206238,4.883109521981984,-0.1482322064107598
DS-53,-0.7248050792820891,0.5030667169704754,-2.3062348812765503
DS-54,1.3180457478836927,9.842643348291107,2.5152590300061455
DS-55,3.399404312731069,9.229910701213159,2.7788172468192336
DS-56,1.8580495435822446,8.338849449324197,2.7417322545184635
DS-57,-1.8700576152465125,0.9543500105636691,3.0763887943600103
DS-58,0.4924417942191223,1.4012672524660763,-0.6483462366630764
DS-59,-0.5234979836764319,-1.7144692889971254,2.2711344038352568
DS-5,0.2790177997160437,-1.2554928017576137,-0.12490452876701771
DS-60,2.061873456160666,-1.3838996023841097,2.1499257178016333
DS-61,2.4389476266148264,-1.2075215569504578,2.151024194132671
DS-63,2.3916391079095933,-1.2577831858507182,1.4032663158246312
DS-64,-1.6783626214743463,3.704136025035973,4.724319400531748
DS-6,1.7099542909102485,-1.0584289647948797,1.3761462642645432
DS-7,0.7727687145183567,-0.8579061315992433,0.15626261880803932
DS-8,-1.5284682427748648,-1.7401484904121505,0.4480942705903069
DS-9,-1.6669770850587853,-1.3397678312417716,-0.8805750987464195
iPrPAMP,-0.12457482977392789,-1.7505447895213544,0.16652359815017814
MB-100,-2.157471394201383,3.576458646625925,7.133345204273512
MB-101,-1.1517847608856033,-1.28118473903897,-1.0970726619458513
MB-102,-1.3859423866049476,-1.7409882374990941,4.392216047926319
MB-103,-0.37374351829809965,2.165494083059363,-1.7935351673768904
MB-104,-2.446208196559273,-1.9630239550953337,2.6338960789648835
MB-105,-1.755247726958946,2.230620872407546,0.7278095639671643
MB-106,-1.367596197347033,-1.0447163634895442,-0.3081403824811045
MB-107,0.18901772344372125,-4.124545653357735,1.5008867325505328
MB-108,-2.5389521718798806,-1.2270480412066014,3.9151008924336774
MB-109,-0.45233976213230925,-1.192609180204638,-0.2381984184047621
MB-10,0.5122491745435654,-2.404746536747768,-0.4894785544610973
MB-110,-0.9632446566748138,-2.9001421274243033,3.175240800759449
MB-111,-0.4515322171858304,-2.190206461887156,5.773696584317893
MB-112,-0.35925332522926906,-0.7559212686331562,-1.2385097187120488
MB-113,-0.059000246395522295,-1.6011418541546787,1.7560994386307707
MB-114,-0.32528486667270573,-2.397839071349595,5.878407408113506
MB-115,0.5932601916507401,-2.135554416234886,-2.1353604212425927
